genre,song_name,file_name,extension,duration_seconds,duration_minutes,relative_path
bollywood_new,Aadat Se Majboor,Aadat Se Majboor.mp3,.mp3,277.349,4.622,bollywood_new\Aadat Se Majboor.mp3
bollywood_new,Aahista Aahista (From ＂Bachna Ae Haseeno＂),Aahista Aahista (From ＂Bachna Ae Haseeno＂).mp3,.mp3,349.913,5.832,bollywood_new\Aahista Aahista (From ＂Bachna Ae Haseeno＂).mp3
bollywood_new,Aaj Kal Zindagi,Aaj Kal Zindagi.mp3,.mp3,254.507,4.242,bollywood_new\Aaj Kal Zindagi.mp3
bollywood_new,Alvida,Alvida.mp3,.mp3,338.587,5.643,bollywood_new\Alvida.mp3
bollywood_new,AYE KHUDA,AYE KHUDA.mp3,.mp3,280.497,4.675,bollywood_new\AYE KHUDA.mp3
bollywood_new,Aye Udi Udi Udi,Aye Udi Udi Udi.mp3,.mp3,276.307,4.605,bollywood_new\Aye Udi Udi Udi.mp3
bollywood_new,Baatein Kuch Ankahee,Baatein Kuch Ankahee.mp3,.mp3,275.413,4.59,bollywood_new\Baatein Kuch Ankahee.mp3
bollywood_new,Baatein Ye Kabhi Na (Male),Baatein Ye Kabhi Na (Male).mp3,.mp3,289.013,4.817,bollywood_new\Baatein Ye Kabhi Na (Male).mp3
bollywood_new,Bawara Mann,Bawara Mann.mp3,.mp3,216.073,3.601,bollywood_new\Bawara Mann.mp3
bollywood_new,Bol Na Halke Halke,Bol Na Halke Halke.mp3,.mp3,306.427,5.107,bollywood_new\Bol Na Halke Halke.mp3
bollywood_new,Boom Boom (Lip Lock),Boom Boom (Lip Lock).mp3,.mp3,275.493,4.592,bollywood_new\Boom Boom (Lip Lock).mp3
bollywood_new,Bulleya (From ＂Sultan＂),Bulleya (From ＂Sultan＂).mp3,.mp3,357.013,5.95,bollywood_new\Bulleya (From ＂Sultan＂).mp3
bollywood_new,Chaleya,Chaleya.mp3,.mp3,200.374,3.34,bollywood_new\Chaleya.mp3
bollywood_new,Challa,Challa.mp3,.mp3,320.001,5.333,bollywood_new\Challa.mp3
bollywood_new,Chedkhaniyaan,Chedkhaniyaan.mp3,.mp3,198.261,3.304,bollywood_new\Chedkhaniyaan.mp3
bollywood_new,Chogada (From ＂Loveyatri＂),Chogada (From ＂Loveyatri＂).mp3,.mp3,249.742,4.162,bollywood_new\Chogada (From ＂Loveyatri＂).mp3
bollywood_new,Deewana Kar Raha Hai,Deewana Kar Raha Hai.mp3,.mp3,338.923,5.649,bollywood_new\Deewana Kar Raha Hai.mp3
bollywood_new,DHAN TE NAN,DHAN TE NAN.mp3,.mp3,279.934,4.666,bollywood_new\DHAN TE NAN.mp3
bollywood_new,Dil Chahta Hai,Dil Chahta Hai.mp3,.mp3,310.08,5.168,bollywood_new\Dil Chahta Hai.mp3
bollywood_new,Dil Dhadakne Do,Dil Dhadakne Do.mp3,.mp3,230.319,3.839,bollywood_new\Dil Dhadakne Do.mp3
bollywood_new,Dil Ibaadat,Dil Ibaadat.mp3,.mp3,329.387,5.49,bollywood_new\Dil Ibaadat.mp3
